web-scraper-order,web-scraper-start-url,newpage,team,matchup,date,winloss,min,pts,fgm,fga,fgpercent,3pm,3pa,3ppercent,ftm,fta,ftpercent,oreb,dreb,reb,ast,stl,blk,tov,pfidk,plusminus
"1710880555-139","https://www.nba.com/stats/teams/boxscores","","DET","DET vs. DAL","03/09/2024","L","240","124","45","99","45.5","13","37","35.1","21","25","84.0","20","36","56","27","8","4","20","26","-18"
"1710880555-140","https://www.nba.com/stats/teams/boxscores","","BOS","BOS @ PHX","03/09/2024","W","240","117","46","94","48.9","15","39","38.5","10","13","76.9","13","30","43","29","7","4","12","12","10"
"1710880555-141","https://www.nba.com/stats/teams/boxscores","","PHX","PHX vs. BOS","03/09/2024","L","240","107","44","87","50.6","9","31","29.0","10","16","62.5","10","31","41","21","6","1","15","14","-10"
"1710880555-142","https://www.nba.com/stats/teams/boxscores","","GSW","GSW vs. SAS","03/09/2024","L","240","113","41","88","46.6","10","30","33.3","21","29","72.4","9","30","39","26","9","7","12","24","-13"
"1710880555-143","https://www.nba.com/stats/teams/boxscores","","SAS","SAS @ GSW","03/09/2024","W","240","126","44","86","51.2","17","33","51.5","21","28","75.0","12","37","49","34","6","6","14","22","13"
"1710880555-144","https://www.nba.com/stats/teams/boxscores","","DEN","DEN vs. UTA","03/09/2024","W","240","142","55","83","66.3","19","32","59.4","13","16","81.3","5","27","32","40","8","10","14","22","21"
"1710880555-145","https://www.nba.com/stats/teams/boxscores","","UTA","UTA @ DEN","03/09/2024","L","240","121","47","94","50.0","8","26","30.8","19","25","76.0","14","22","36","22","7","2","15","15","-21"
"1710880555-146","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ POR","03/09/2024","L","265","118","43","91","47.3","16","43","37.2","16","19","84.2","9","34","43","29","9","6","20","18","-10"
"1710880555-147","https://www.nba.com/stats/teams/boxscores","","POR","POR vs. TOR","03/09/2024","W","265","128","49","103","47.6","16","40","40.0","14","15","93.3","18","34","52","31","10","3","15","18","10"
"1710880555-148","https://www.nba.com/stats/teams/boxscores","","LAC","LAC vs. CHI","03/09/2024","W","240","112","42","84","50.0","12","35","34.3","16","18","88.9","9","36","45","29","7","6","16","20","10"
"1710880555-149","https://www.nba.com/stats/teams/boxscores","","ORL","ORL @ NYK","03/08/2024","L","240","74","27","79","34.2","6","26","23.1","14","20","70.0","12","25","37","12","7","10","14","12","-24"
"1710880555-150","https://www.nba.com/stats/teams/boxscores","","MIL","MIL @ LAL","03/08/2024","L","240","122","46","93","49.5","16","41","39.0","14","17","82.4","6","37","43","28","3","2","8","17","-1"
"1710880555-151","https://www.nba.com/stats/teams/boxscores","","LAL","LAL vs. MIL","03/08/2024","W","240","123","47","90","52.2","16","34","47.1","13","19","68.4","4","34","38","27","2","7","5","16","1"
"1710880555-152","https://www.nba.com/stats/teams/boxscores","","HOU","HOU @ POR","03/08/2024","W","240","123","45","94","47.9","14","37","37.8","19","26","73.1","14","33","47","33","12","10","7","15","16"
"1710880555-153","https://www.nba.com/stats/teams/boxscores","","POR","POR vs. HOU","03/08/2024","L","240","107","37","89","41.6","16","35","45.7","17","25","68.0","19","30","49","22","5","5","17","16","-16"
"1710880555-154","https://www.nba.com/stats/teams/boxscores","","CLE","CLE vs. MIN","03/08/2024","W","265","113","38","88","43.2","11","34","32.4","26","36","72.2","10","36","46","27","7","8","13","20","9"
"1710880555-155","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ CLE","03/08/2024","L","265","104","39","94","41.5","8","30","26.7","18","22","81.8","7","38","45","25","5","5","14","25","-9"
"1710880555-156","https://www.nba.com/stats/teams/boxscores","","ATL","ATL @ MEM","03/08/2024","W","240","99","37","87","42.5","15","35","42.9","10","15","66.7","15","32","47","21","9","5","16","20","7"
"1710880555-157","https://www.nba.com/stats/teams/boxscores","","MEM","MEM vs. ATL","03/08/2024","L","240","92","30","74","40.5","10","26","38.5","22","30","73.3","10","28","38","21","10","11","13","19","-7"
